Gene1,Gene2,Avg_Edge_Weight,NumberOfCancerType
EDC4|23644,ACD|65057,2.0,9
ERLIN2|11160,BRF2|55290,1.95,10
FKBP8|23770,COPE|11316,1.8,9
FXR2|9513,DVL2|1856,1.9,8
GPN2|54707,GPATCH3|63906,2.0,11
GPS1|2873,ANAPC11|51529,2.4,13
HEATR5B|54497,BIRC6|57448,1.95,10
HLA-DRA|3122,CD74|972,2.75,14
INTS9|55756,CHMP7|91782,1.8,9
KIF2C|11004,CDCA8|55143,2.2,12
MCPH1|79648,CNOT7|29883,1.9,11
MRPL12|6182,ANAPC11|51529,2.0,11
MRPL13|28998,ENY2|56943,2.1,11
MRPS17|51373,CCT6A|908,2.1,9
MRPS27|23107,BTF3|689,2.25,10
MRPS36|92259,COX7C|1350,2.0,13
MTA1|9112,BRF1|2972,2.0,12
MVK|4598,MMAB|326625,2.1,11
NDUFA11|126328,CLPP|8192,2.1,10
NDUFA2|4695,MRPL22|29093,2.1,10
NDUFB10|4716,GFER|2671,1.95,8
NGDN|25983,C14orf119|55017,1.7999999999999998,8
NKAP|79576,MCTS1|28985,1.95,8
NOMO3|408050,NOMO1|23420,1.8,10
PARK7|11315,MRPL20|55052,2.1,8
PDAP1|11333,BUD31|8896,2.1,9
PFN1|5216,EIF5AL1|143244,2.1,10
POLR1C|9533,MAD2L1BP|9587,2.1,9
POLR1D|51082,MTIF3|219402,2.05,8
PPIA|5478,MRPS24|64951,2.1,9
PPIG|9360,CWC22|57703,1.95,10
PQBP1|10084,NDUFB11|54539,1.7000000000000002,8
PSMB7|5695,EDF1|8721,2.05,8
PSMB9|5698,PSMB8|5696,2.5,15
PSMD8|5714,EIF3K|27335,2.3,9
PTPN2|5771,PSMG2|56984,2.1,11
ROBO4|54538,CD34|947,2.1,9
RPL27A|6157,EIF3F|8665,2.2,12
RPL28|6158,RPL18|6141,2.6500000000000004,14
RPL3|6122,RPL10A|4736,2.1,12
RPL36|25873,RPL18A|6142,2.2,8
RPP21|79897,CSNK2B|1460,1.9,9
RSL24D1|51187,COPS2|9318,2.1,11
SAP18|10284,POMP|51371,2.0,10
SAP30BP|29115,MRPL38|64978,2.05,8
SEH1L|81929,PSMG2|56984,2.1500000000000004,10
SF3B2|10992,SART1|9092,2.05,8
SMARCA5|8467,NAA15|80155,2.0,11
SRCAP|10847,FBRS|64319,2.1,9
STK25|10494,CAPN10|11132,2.0,9
TAF1C|9013,CDK10|8558,1.95,10
TARBP2|6895,MCRS1|10445,2.1,8
TBP|6908,PDCD2|5134,2.1,9
TCP1|6950,MRPL18|29074,2.7,13
TCP1|6950,PDCD2|5134,1.9,10
TLK2|11011,MED13|9969,1.95,8
TMEM11|8834,DHRS7B|25979,2.2,10
TNIP2|79155,CTBP1|1487,2.1,9
TOMM5|401505,EXOSC3|51010,2.4,11
TTC1|7265,MED7|9443,2.1,9
TYROBP|7305,C1QC|714,1.9500000000000002,10
U2AF1|7307,RRP1|8568,2.1500000000000004,10
UBE2D3|7323,EIF4E|1977,2.1,8
UBE2J2|118424,MRPL20|55052,2.1,9
UBE2N|7334,MRPL42|28977,2.1,11
UFM1|51569,COG6|57511,2.05,12
UQCR11|10975,TIMM13|26517,1.95,8
VPS28|51160,HSF1|3297,2.0,10
VPS4B|9525,NARS|4677,1.9500000000000002,8
WDR75|84128,PMS1|5378,1.9,9
ZNF227|7770,ZNF225|7768,2.1500000000000004,10
ZNF230|7773,ZNF225|7768,2.1,11
ZNF302|55900,ZNF181|339318,2.3,12
ZNF613|79898,ZNF350|59348,2.3,9
ATXN1L|342371,AP1G1|164,2.4,9
BAG4|9530,ASH2L|9070,2.1,8
BRF1|2972,AKT1|207,2.0,9
C12orf10|60314,AAAS|8086,2.2,10
CHMP7|91782,CCDC25|55246,1.7,9
CLPP|8192,ALKBH7|84266,1.95,10
COL6A2|1292,COL6A1|1291,2.6500000000000004,12
EDC4|23644,DHX38|9785,2.3,11
ELAC2|60528,COX10|1352,1.95,10
EXOSC8|11340,ALG5|29880,1.9,8
FANCI|55215,BLM|641,2.1,8
FBXL6|26233,ADCK5|203054,2.05,14
GADD45GIP1|90480,C19orf53|28974,2.3,11
GGTLC2|91227,GGT1|2678,3.3,15
HELZ|9931,BPTF|2186,2.4,10
HGS|9146,ARHGDIA|396,2.0,11
HLA-B|3106,HLA-A|3105,2.1500000000000004,12
HOOK3|84376,FNTA|2339,1.9,8
HSF1|3297,CYHR1|50626,2.1,10
INTS1|26173,EIF3B|8662,1.8,9
INTS10|55174,CCDC25|55246,1.7999999999999998,8
INTS10|55174,CNOT7|29883,2.1500000000000004,10
KRIT1|889,ANKIB1|54467,2.2,13
